Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index	note	Ins_RGB	Ins_CMYK	Categogy NickName
509008	17	509008	9008	Glow in Dark Red	Trans-Red	Glow in Dark Red	Glow in Dark Red	#E0685C	0.9803922	Milky Colors	1	to_bl,to_ldd			Glow in Dark(Render Only)
509009	98	509009	9009	Glow in Dark Orange	Trans-Orange	Glow in Dark Orange	Glow in Dark Orange	#F0AB59	0.9803922	Milky Colors	5	to_bl,to_ldd			Glow in Dark(Render Only)
509010	118	509010	9010	Glow in Dark Green	Glow In Dark Trans	Glow in Dark Green	Glow in Dark Green	#77BF90	0.9803922	Milky Colors	12	to_bl,to_ldd			Glow in Dark(Render Only)
509011	46	509011	9011	Glow in Dark Blue	Glow In Dark Opaque	Glow in Dark Blue	Glow in Dark Blue	#8C9DE6	0.9803922	Milky Colors	17	to_bl,to_ldd			Glow in Dark(Render Only)
509012	50	509012	9012	Glow in Dark Purple	Trans-Dark Pink	Glow in Dark Purple	Glow in Dark Purple	#C38AD1	0.9803922	Milky Colors	20	to_bl,to_ldd			Glow in Dark(Render Only)
															
509013	17	509013	9013	Glowing Neon Red	Trans-Red	Glowing Neon Red	Glowing Neon Red	#FF073A	0.75	Transparent Colors	1	to_bl,to_ldd			Glowing Neon(Render Only)
509014	19	509014	9014	Glowing Neon Orange	Trans-Yellow	Glowing Neon Orange	Glowing Neon Orange	#FE7F0C	0.75	Transparent Colors	5	to_bl,to_ldd			Glowing Neon(Render Only)
509015	12	509015	9015	Glowing Neon Yellow	Trans-Clear	Glowing Neon Yellow	Glowing Neon Yellow	#FAFB22	0.75	Transparent Colors	7	to_bl,to_ldd			Glowing Neon(Render Only)
509016	108	509016	9016	Glowing Neon Green	Trans-Bright Green	Glowing Neon Green	Glowing Neon Green	#37FE00	0.75	Transparent Colors	9	to_bl,to_ldd			Glowing Neon(Render Only)
509017	74	509017	9017	Glowing Neon Cyan	Trans-Medium Blue	Glowing Neon Cyan	Glowing Neon Cyan	#01FFFF	0.75	Transparent Colors	14	to_bl,to_ldd			Glowing Neon(Render Only)
509018	15	509018	9018	Glowing Neon Blue	Trans-Light Blue	Glowing Neon Blue	Glowing Neon Blue	#035FFF	0.75	Transparent Colors	17	to_bl,to_ldd			Glowing Neon(Render Only)
509019	51	509019	9019	Glowing Neon Purple	Trans-Purple	Glowing Neon Purple	Glowing Neon Purple	#A117F2	0.75	Transparent Colors	20	to_bl,to_ldd			Glowing Neon(Render Only)
509020	50	509020	9020	Glowing Neon Magenta	Trans-Dark Pink	Glowing Neon Magenta	Glowing Neon Magenta	#FE59C2	0.75	Transparent Colors	21	to_bl,to_ldd			Glowing Neon(Render Only)
															
509027	12	509027	9027	Luminous White	Trans-Clear	Luminous White	Luminous White	#FBFBFB	0.62	Transparent Colors	-1	to_bl,to_ldd			Luminous(Render Only)
